,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,3P%,2P%,FT%,TmNetRtg,Next Rtg,Next WS,Veteran Value,VV Class,Player Level
1,1997,Vinny Del,SG,30.0,SAS,72.0,2243.0,14.4,0.529,0.179,0.165,2.0,9.5,18.6,1.4,0.2,9.9,19.3,3.2,-0.1,3.1,0.066,0.6,-2.3,0.314,0.501,0.868,-8.8,4.4,3.7,2903.225806451613,0,1
3,1997,Avery Johnson,PG,31.0,SAS,76.0,2472.0,15.0,0.517,0.038,0.296,1.5,5.8,35.5,2.1,0.5,15.9,17.3,3.4,0.0,3.4,0.066,-0.2,-3.0,0.231,0.487,0.69,-8.8,4.4,6.7,14558.823529411766,0,1
7,1997,Charles Barkley,PF,33.0,HOU,53.0,2009.0,23.0,0.581,0.296,0.6,12.9,27.7,20.6,1.8,0.9,14.7,23.2,5.7,3.7,9.4,0.224,4.4,2.8,0.283,0.569,0.694,4.7,-0.9,8.6,13.99999999999999,0,2
8,1997,Clyde Drexler,SG,34.0,HOU,62.0,2271.0,19.9,0.548,0.373,0.298,6.3,12.4,26.4,2.7,1.2,13.3,23.5,4.8,3.4,8.1,0.172,3.9,1.7,0.355,0.493,0.75,4.7,-0.9,6.8,7.423895253682488,0,2
9,1997,Mario Elie,SF,33.0,HOU,78.0,2687.0,14.3,0.662,0.489,0.395,2.7,7.2,17.6,1.8,0.3,16.4,13.9,6.3,2.6,8.9,0.159,2.4,0.1,0.42,0.572,0.896,4.7,-0.9,3.8,2.0792657488527326,0,1
10,1997,Hakeem Olajuwon,C,34.0,HOU,78.0,2852.0,22.7,0.558,0.011,0.313,7.4,21.0,16.2,2.1,4.5,14.8,30.4,3.5,5.6,9.1,0.154,-0.2,3.4,0.313,0.512,0.787,4.7,-0.9,4.5,2.357076780758557,0,3
11,1997,Kevin Willis,PF,34.0,HOU,75.0,1964.0,14.3,0.515,0.019,0.277,9.1,23.3,6.2,1.1,1.2,12.7,21.7,0.8,3.0,3.8,0.093,-3.6,-0.2,0.143,0.487,0.693,4.7,-0.9,6.0,119.14893617021278,0,1
13,1997,Antoine Carr,PF,35.0,UTA,82.0,1460.0,12.1,0.522,0.006,0.243,5.5,10.9,8.2,0.9,3.6,11.5,20.8,0.8,1.6,2.4,0.079,-2.5,0.1,0.0,0.486,0.78,9.8,7.2,1.5,0.7074829931972789,0,0
14,1997,Jeff Hornacek,SG,33.0,UTA,82.0,2592.0,18.8,0.596,0.228,0.381,3.1,8.2,22.1,2.6,0.8,11.8,20.3,7.2,3.0,10.2,0.19,3.8,0.3,0.369,0.516,0.899,9.8,7.2,9.5,3.8658892128279922,0,2
15,1997,Karl Malone,PF,33.0,UTA,82.0,2998.0,28.9,0.6,0.008,0.439,8.5,24.2,24.5,2.0,1.3,11.1,32.7,11.6,5.1,16.7,0.268,6.2,2.2,0.0,0.555,0.755,9.8,7.2,16.4,14.768707482993161,0,3
